代號,名稱,產業鏈代碼,產業鏈名稱,位置,子分類,上游公司,下游公司
3022,威強電,F000,電腦及週邊設備,下游/上游,工業電腦;主機板;其他電腦及週邊設備之零組件;其他電腦及週邊設備,2388|威盛;3709|鑫聯大投控;8096|擎亞;AMD|超微半導體;INTC|英特爾;6189|豐藝;6233|旺玖;NVDA|輝達;2459|敦吉;3038|全台;5315|光聯;6167|久正;000725.SZ|京東方;034220.KS|LG顯示;005930.KS|三星電子;005930.KS|三星顯示;2376|技嘉;3024|憶聲;3516|亞帝歐;5386|青雲,2308|台達電;2317|鴻海;2324|仁寶;2331|精英;2353|宏碁;2356|英業達;2357|華碩;2362|藍天;2364|倫飛;2371|大同;2376|技嘉;2377|微星;2382|廣達;2430|燦坤;2483|百容;3005|神基;3231|緯創;4938|和碩;3213|茂訊;3709|鑫聯大投控
3026,禾伸堂,F000,電腦及週邊設備,上游,電池;其他電腦及週邊設備之零組件,,2308|台達電;2317|鴻海;2324|仁寶;2331|精英;2353|宏碁;2356|英業達;2357|華碩;2362|藍天;2364|倫飛;2371|大同;2376|技嘉;2377|微星;2382|廣達;2430|燦坤;2483|百容;3005|神基;3231|緯創;4938|和碩;3213|茂訊;3709|鑫聯大投控
3026,禾伸堂,I000,通信網路,上游,主/被動元件,,2301|光寶科;2308|台達電;2317|鴻海;2324|仁寶;2332|友訊;2345|智邦;2352|佳世達;2357|華碩;2371|大同;2397|友通;2419|仲琦;2483|百容;2485|兆赫;3002|歐格;3025|星通;3027|盛達;3047|訊舟;3062|建漢;3380|明泰;3419|譁裕
3026,禾伸堂,D000,半導體,下游,IC通路,2401|凌陽;3035|智原;3443|創意;5222|全訊;6533|晶心科;6695|芯鼎;3661|世芯-KY;3339|泰谷;3529|力旺;6423|億而得;6643|M31;8054|安國;8227|巨有科技;8299|群聯;6786|芯測;6842|瑞宇;7707|益芯科;7796|擷發科;ARM|安謀;CDNS|益華,
3034,聯詠,D000,半導體,上游,IC設計,,2338|光罩;2438|翔耀;|大日本印刷;|豐創;|凸版印刷;2303|聯電;2330|台積電;2337|旺宏;2340|台亞;2344|華邦電;2371|大同;2408|南亞科;2434|統懋;2455|全新;3016|嘉晶;3532|台勝科;4919|新唐;5222|全訊;6770|力積電;8028|昇陽半導體
3045,台灣大,I000,通信網路,下游,電信服務業,2459|敦吉;3169|亞信;6470|宇智;8096|擎亞;7661|皓德盛科技;INTC|英特爾;005930.KS|三星電子;QCOM|高通;2344|華邦電;2408|南亞科;3260|威剛;4973|廣穎電通;8084|巨虹;8088|品安;7866|丹立;7655|依得科;MU|美光;000660.KS|SK海力士;2466|冠西電;2476|鉅祥,
3048,益登,D000,半導體,下游,IC通路,2401|凌陽;3035|智原;3443|創意;5222|全訊;6533|晶心科;6695|芯鼎;3661|世芯-KY;3339|泰谷;3529|力旺;6423|億而得;6643|M31;8054|安國;8227|巨有科技;8299|群聯;6786|芯測;6842|瑞宇;7707|益芯科;7796|擷發科;ARM|安謀;CDNS|益華,
3231,緯創,F000,電腦及週邊設備,下游,桌上型電腦;筆記型電腦;其他電腦及週邊設備,2388|威盛;3709|鑫聯大投控;8096|擎亞;AMD|超微半導體;INTC|英特爾;6189|豐藝;6233|旺玖;NVDA|輝達;2459|敦吉;3038|全台;5315|光聯;6167|久正;000725.SZ|京東方;034220.KS|LG顯示;005930.KS|三星電子;005930.KS|三星顯示;2376|技嘉;3024|憶聲;3516|亞帝歐;5386|青雲,
3356,奇偶,F000,電腦及週邊設備,下游,安全監控系統,2388|威盛;3709|鑫聯大投控;8096|擎亞;AMD|超微半導體;INTC|英特爾;6189|豐藝;6233|旺玖;NVDA|輝達;2459|敦吉;3038|全台;5315|光聯;6167|久正;000725.SZ|京東方;034220.KS|LG顯示;005930.KS|三星電子;005930.KS|三星顯示;2376|技嘉;3024|憶聲;3516|亞帝歐;5386|青雲,
4938,和碩,F000,電腦及週邊設備,下游/上游,主機板;機殼;桌上型電腦;筆記型電腦,2388|威盛;3709|鑫聯大投控;8096|擎亞;AMD|超微半導體;INTC|英特爾;6189|豐藝;6233|旺玖;NVDA|輝達;2459|敦吉;3038|全台;5315|光聯;6167|久正;000725.SZ|京東方;034220.KS|LG顯示;005930.KS|三星電子;005930.KS|三星顯示;2376|技嘉;3024|憶聲;3516|亞帝歐;5386|青雲,2308|台達電;2317|鴻海;2324|仁寶;2331|精英;2353|宏碁;2356|英業達;2357|華碩;2362|藍天;2364|倫飛;2371|大同;2376|技嘉;2377|微星;2382|廣達;2430|燦坤;2483|百容;3005|神基;3231|緯創;3213|茂訊;3709|鑫聯大投控;6140|訊達電腦
4938,和碩,I000,通信網路,下游,網路設備;無線通訊設備,2459|敦吉;3169|亞信;6470|宇智;8096|擎亞;7661|皓德盛科技;INTC|英特爾;005930.KS|三星電子;QCOM|高通;2344|華邦電;2408|南亞科;3260|威剛;4973|廣穎電通;8084|巨虹;8088|品安;7866|丹立;7655|依得科;MU|美光;000660.KS|SK海力士;2466|冠西電;2476|鉅祥,
4938,和碩,G000,平面顯示器,上游,其他零組件,,2371|大同;2409|友達;2459|敦吉;3038|全台;3481|群創;6116|彩晶;6189|豐藝;6278|台表科;6916|華凌;8104|錸寶;8105|凌巨;5245|智晶;5315|光聯;8069|元太;6979|勝釩;000725.SZ|京東方;034220.KS|LG顯示;005930.KS|三星顯示;|三星顯示器;2393|億光
4938,和碩,D000,半導體,下游,基板,2401|凌陽;3035|智原;3443|創意;5222|全訊;6533|晶心科;6695|芯鼎;3661|世芯-KY;3339|泰谷;3529|力旺;6423|億而得;6643|M31;8054|安國;8227|巨有科技;8299|群聯;6786|芯測;6842|瑞宇;7707|益芯科;7796|擷發科;ARM|安謀;CDNS|益華,
5203,訊連,5300,人工智慧,上游,領域解決方案,,
5203,訊連,R000,軟體服務,上游,應用/系統軟體設計開發,,
6214,精誠,R000,軟體服務,上游,系統整合服務;通路經銷;應用/系統軟體設計開發;資料處理服務,,
6285,啟碁,I000,通信網路,下游,網路設備;無線通訊設備,2459|敦吉;3169|亞信;6470|宇智;8096|擎亞;7661|皓德盛科技;INTC|英特爾;005930.KS|三星電子;QCOM|高通;2344|華邦電;2408|南亞科;3260|威剛;4973|廣穎電通;8084|巨虹;8088|品安;7866|丹立;7655|依得科;MU|美光;000660.KS|SK海力士;2466|冠西電;2476|鉅祥,
6462,神盾,5500,資通訊安全,上游,端點安全防護;身分認證與訪問管理,,
6462,神盾,R000,軟體服務,上游,應用/系統軟體設計開發,,
6462,神盾,D000,半導體,上游,IC設計,,2338|光罩;2438|翔耀;|大日本印刷;|豐創;|凸版印刷;2303|聯電;2330|台積電;2337|旺宏;2340|台亞;2344|華邦電;2371|大同;2408|南亞科;2434|統懋;2455|全新;3016|嘉晶;3532|台勝科;4919|新唐;5222|全訊;6770|力積電;8028|昇陽半導體
9914,美利達,B000,休閒娛樂,上游,休閒車業,,
9921,巨大,B000,休閒娛樂,上游,休閒車業,,
8272,全景軟體,5500,資通訊安全,上游,行動安全;端點安全防護;雲端安全;物聯網安全;網路安全防護,,
8299,群聯,F000,電腦及週邊設備,上游,記憶體;隨身碟、記憶卡讀卡機;其他電腦及週邊設備之零組件,,2308|台達電;2317|鴻海;2324|仁寶;2331|精英;2353|宏碁;2356|英業達;2357|華碩;2362|藍天;2364|倫飛;2371|大同;2376|技嘉;2377|微星;2382|廣達;2430|燦坤;2483|百容;3005|神基;3231|緯創;4938|和碩;3213|茂訊;3709|鑫聯大投控
8299,群聯,D000,半導體,下游/上游,IC設計;IC通路;IP設計;IC模組,2401|凌陽;3035|智原;3443|創意;5222|全訊;6533|晶心科;6695|芯鼎;3661|世芯-KY;3339|泰谷;3529|力旺;6423|億而得;6643|M31;8054|安國;8227|巨有科技;6786|芯測;6842|瑞宇;7707|益芯科;7796|擷發科;ARM|安謀;CDNS|益華;|Imagination,2338|光罩;2438|翔耀;|大日本印刷;|豐創;|凸版印刷;2303|聯電;2330|台積電;2337|旺宏;2340|台亞;2344|華邦電;2371|大同;2408|南亞科;2434|統懋;2455|全新;3016|嘉晶;3532|台勝科;4919|新唐;5222|全訊;6770|力積電;8028|昇陽半導體
5434,崇越,V000,貿易百貨,中游,貿易商、代理商、經銷商,1614|三洋電;2371|大同;4930|燦星網;6201|亞弘電;6225|天瀚;2929|淘帝-KY;4807|日成-KY;8429|金麗-KY;2916|滿心;8916|光隆;8941|關中;2924|宏太-KY;6629|泰金-KY;2938|床的世界;2940|歐都納;7401|格外農品;7412|生態綠;7449|元皓;7451|頂豪;7542|宥盛,1419|新紡;1532|勤美;1614|三洋電;2371|大同;2430|燦坤;2601|益航;2614|東森;2901|欣欣;2903|遠百;2905|三商;2910|統領;2911|麗嬰房;2912|統一超;2913|農林;2915|潤泰全;2945|三商家購;3024|憶聲;6281|全國電;8443|阿瘦;9946|三發地產
