位置,子分類,代號,名稱
下游,無線通訊設備,2317,鴻海
下游,無線通訊設備,2321,東訊
下游,無線通訊設備,2324,仁寶
下游,無線通訊設備,2352,佳世達
下游,無線通訊設備,2357,華碩
下游,無線通訊設備,2424,隴華
下游,無線通訊設備,2439,美律
下游,無線通訊設備,2450,神腦
下游,無線通訊設備,2483,百容
下游,無線通訊設備,2485,兆赫
下游,無線通訊設備,2498,宏達電
下游,無線通訊設備,3027,盛達
下游,無線通訊設備,3062,建漢
下游,無線通訊設備,3419,譁裕
下游,無線通訊設備,3704,合勤控
下游,無線通訊設備,3706,神達
下游,無線通訊設備,4904,遠傳
下游,無線通訊設備,4938,和碩
下游,無線通訊設備,6152,百一
下游,無線通訊設備,6285,啟碁
下游,無線通訊設備,6792,詠業
下游,無線通訊設備,8101,華冠
下游,無線通訊設備,3152,璟德
下游,無線通訊設備,3306,鼎天
下游,無線通訊設備,3466,德晉
下游,無線通訊設備,3491,昇達科
下游,無線通訊設備,3499,環天科
下游,無線通訊設備,3541,西柏
下游,無線通訊設備,3632,研勤
下游,無線通訊設備,3684,榮昌
下游,無線通訊設備,5348,正能量智能
下游,無線通訊設備,5353,台林
下游,無線通訊設備,5356,協益
下游,無線通訊設備,6109,亞元
下游,無線通訊設備,6143,振曜
下游,無線通訊設備,6163,華電網
下游,無線通訊設備,6263,普萊德
下游,無線通訊設備,6417,韋僑
下游,無線通訊設備,6465,威潤
下游,無線通訊設備,6470,宇智
下游,無線通訊設備,6486,互動
下游,無線通訊設備,6512,啟發電
下游,無線通訊設備,6884,海柏特
下游,無線通訊設備,8048,德勝
下游,無線通訊設備,3473,智通聯網
下游,無線通訊設備,6648,斯其大
下游,無線通訊設備,7569,發條橘子
下游,無線通訊設備,,Ericsson
下游,無線通訊設備,,華為
下游,無線通訊設備,,Nokia Network
下游,有線通訊設備,1614,三洋電
下游,有線通訊設備,2321,東訊
下游,有線通訊設備,2371,大同
下游,有線通訊設備,2483,百容
下游,有線通訊設備,3704,合勤控
下游,有線通訊設備,3558,神準
下游,有線通訊設備,5353,台林
下游,有線通訊設備,6140,訊達電腦
下游,有線通訊設備,6263,普萊德
下游,有線通訊設備,6470,宇智
下游,有線通訊設備,8034,榮群
下游,有線通訊設備,8099,大世科
下游,有線通訊設備,,Ericsson
下游,有線通訊設備,,華為
下游,有線通訊設備,,Nokia Network
下游,電信服務業,2412,中華電
下游,電信服務業,3045,台灣大
下游,電信服務業,3682,亞太電
下游,電信服務業,4904,遠傳
下游,電信服務業,6136,富爾特
下游,電信服務業,6170,統振
下游,電信服務業,6470,宇智
下游,電信服務業,7868,聖育
下游,電信服務業,7901,大大寬頻
下游,電信服務業,7569,發條橘子
下游,電信服務業,,AT&T
下游,電信服務業,,中國移動
下游,電信服務業,,Comcast
下游,電信服務業,,威訊通訊
